COUNTY,COURT CODE,COURT NAME,ADDRESS,PHONE,FAX,JUDGE,CT ADMIN,COURT DAYS,OFFICE HOURS,
HUNTERDON,100,FLEMINGTON BORO MUNICIPAL CT,2 MUNICIPAL DRIVE ELEMINGTON NJ 08822,908-782-5770,9087822823,ERIC M PERKINS,OLIVIA BARRICK,,MON - FRI 9:00AM - 4:00PM,
BURLINGTON,315,FLORENCE TWP MC,711 BROAD STREET FLORENCE NJ 08518,609-499-2222,6094991779,COREY E AHART,PATRICIA A MELLOR,2ND TUESDAY,10:00AM - 4:00PM,
MORRIS,1411,FLORHAM PARK MUNICIPAL COURT,111 RIDGENDALE AVE FLORHAM PARK NJ 07932,973-410-5324,9734105329,IRA A COHEN,BRIANA DIAMOND,WEDNESDAYS,MON-FRI 9:00AM TO 4:30PM,
ATLANTIC,110,FOLSOM BORO MUNICIPAL COURT,100 CENTRAL AVENUE HAMMONTON NJ 08037,609-567-4300,6095675090,FRANK J RASO,CATHERINE A DEYOUNG,TUESDAYS,MON - FRI 9:00AM-4:30PM,
SUSSEX,1905,FRANKFORD JOINT MUNICIPAL CT,151 US HWY 206 AUGUSTA NJ 07822,973-948-4045,9739485566,JAMES G DEVINE,SUZANNE M OAKLEY,2ND AND 3RD THURSDAY,9:00AM - 3:30PM,
SUSSEX,1906,FRANKLIN BORO MUNICIPAL COURT,46 MAIN STREET FRANKLIN NJ 07416,973-827-9280,9738270921,GLENN T GAVAN,LAUREN J MITCHENER,1ST AND 4TH MONDAY; 2ND WEDNESDAY,8:30AM - 4:00PM,
GLOUCESTER,805,FRANKLIN JOINT MUNICIPAL COURT,1571 DELSEA DRIVE FRANKLINVILLE NJ 08322,856-694-1661,8566942192,JOHN J ARMANO JR.,TRACEY A BLEDA,4TH TUESDAY,"M,T,W,F 8A-3P, THUR 8AM",
MONMOUTH,131,FREEHOLD BORO MUNICIPAL COURT,38 JACKSON STREET FREEHLD NJ 07728,732-462-2444,7322941520,SCOTT J BASEN,KATHRYN KRAUSE,"1ST,2ND,3RD,& 4TH TUESDAYS",8:30 AM - 4:00 PM,
WARREN,2106,FRELINGHUYSEN TWP MUN COURT,691 WATER ST BELVIDERE NJ 07823,908-475-5331,9084752738,NICOLE LENAR,DAWN DECKER,1ST AND 3RD THURSDAY,MON - FRI 9:00AM - 4:30PM,
HUNTERDON,1011,FRENCHTOWN BORO MUNICIPAL COUR,ONE MUNICIPAL DR FLEMINGTON NJ 0882,908-782-8818,9088066478,CHARLES E. CARRO,BIANCA WATKINS,,MON-FRI 8:30AM-4:30PM,
ATLANTIC,111,GALLOWAY TOWNSHIP MUNICIPAL CT,5905 MAIN STREET MAYS LANDING NJ 08330,609-909-5999,6099095992,TIMOTHY P MAGUIRE,ANTOINETTE TUMMON,MONDAY-FRIDAY,MON-FRI 8:30AM-4:30PM,
CAMDEN,413,GIBBSBORO BORO MUNICIPAL CT,49 KIRKWOOD ROAD GIBBSBORO NJ 08026,856-768-2300,8567828694,RODERICK T BALTIMORE,HEATHER CAMPBELL,3RD THURSDAY,COURT@WATERFORDTWP.ORG,
GLOUCESTER,806,GLASSBORO MUNICIPAL COURT,1 SOUTH MAIN STREET GLASSBORO NJ 02028,856-881-0383,8568818253,JOHN J ARMANO,DAWN DEFRANCESCO,THURSDAY,MON - FRI 8:00AM - 4:00PM,
HUNTERDON,1012,GLEN GARDNER BORO MUNICIPAL CT,405 MINE RD ASBURY NJ 08802,908-735-4559,9087354559,ROBERT L ALEXANDER,DONNA SURDICH,2ND & 4T TUESDAY,MON - FRI 8:30AM - 3:30PM,
BERGEN,222,GLEN ROCK MUNICIPAL COURT,HARDING PLAZA GLEN ROCK NJ 07452,201-670-3950,2016703963,DAVID PFUND,KIMBERLY MCWILLIAMS,2ND & 4TH TUESDAY,8:30AM - 4:15PM,
CAMDEN,414,GLOUCESTER CITY MUNICIPAL CT,313 MONMOUTH STREET GLOUCESTER CITY NJ 08030,856-456-3958,8564563065,CHARLES SHIMBERG,SAMANTHA SCHULES,TUESDAYS,"M-WED 8AM-5PM, TH 10AM-7PM",
CAMDEN,415,GLOUCESTER TWP MUNICIPAL COURT,PO BOX 8 BLACKWOOD NJ 08012,856-228-4000,8563743527,N. RYAN TRABOSH,PATRICIA CARROLL,TUESDAYS,8:00 AM - 5:45 PM M-THURSDAY,
SUSSEX,1908,GREEN TWP MUNICIPAL COURT,39 TRINITY STREET NEWTON NJ 07860,973-383-3521,9733830465,JAMES P SLOAN,KATHERINE QUINN,TUESDAYS,8:30AM - 4:00PM,
SOMERSET,1809,GREENBROOK TWP MUNICIPAL COURT,111 GREENBROOK RD GREEN BROOK NJ 08812,732-968-1110,7329682041,MICHAEL FEDUN,JACQUELINE TAMASHIRO,"2ND,3RD,4TH WEDNESDAYS",M-F 8:30AM - 3:30PM,
CUMBERLAND,606,GREENWICH TWP MUNICIPAL COURT,1325 HWY 77 SEABROOK NJ 08302,856-455-8722,8564516489,LAUREN VAN EMBDEN,PATRICIA TURKALI,TUESDAY BEGINNING AT 09:00 AM,"M,T,W,T,F, 9AM - 4PM",
GLOUCESTER,807,GREENWICH TWP MUNICIPAL COURT,21 NORTH WALNUT ST GIBBSTOWN NJ 08027,856-423-0113,8562240283,THOMAS M. NORTH,SHERRI FUTIE,2ND & 4TH THURSDAY,MON - FRI 9:00AM - 4:00PM,
WARREN,2107,GREENWICH TWP MUNICIPAL COURT,50 MUNICIPAL DR PHILLIPSBURG NJ 08865,908-454-6121,9084548241,LOUIS MELLINGER,CYNDI C. LEHR,1ST (3) THURSDAYS,MON - FRI 9:00AM - 4:30PM,
BERGEN,223,HACKENSACK MUNICIPAL COURT,215 STATE STREET HACKENSA CK NJ 07601,201-646-3971,2016460202,LOUIS J DINICE,AARIKA WILL,"EVERY MONDAY, WEDNESDAY AND THURSDAY",8:00 AM - 4:30 PM,
WARREN,2108,HACKETTSTOWN MUNICIPAL COURT,215 STIGER ST HACKETTSTOWN NJ 07840,908-852-0688,9088521786,NICOLE N. LENAR,LAURA M MOORE,2ND AND 3RD WEDNESDAY,9:00AM - 4:30PM,
CAMDEN,418,HADDON HEIGHTS MUNICIPAL COURT,606 W NICHOLSON RD. AUDUBON NJ 08106,856-547-0712,8563100825,CHARLES SHIMBERG,JEAN PHILLIPS,MONDAY,MON-FRI 9:00AM - 4:00PM,
CAMDEN,416,HADDON HEIGHTS MUNICIPAL COURT,135 HADDON AVE HADDON TWP NJ 07108,856-854-1176,8568588335,ROBERT A GLEANER,LAURA CAPPELLI,2ND & 4TH WEDNESDAY,8:30 AM - 4:00 PM M-F,
CAMDEN,417,HADDON HEIGHTS MUNICIPAL COURT,606 W NICHOLSON RD. AUDUBON NJ 08106,856-547-0712,8563100825,CHARLES SHIMBERG,JEAN PHILLIPS,MONDAY,9:00AM - 4:00PM,
BURLINGTON,316,HAINESPORT TWP MUNICIPAL COURT,710 RANCOCAS RD WESTAMPTON NJ 08060,609-267-1895,6092671898,COREY E AHART,SUSAN GRAUBART,THURSDAYS,MON - FRI 8:00AM - 3:00PM,
MERCER,1909,HAMBURG MUNICIPAL COURT,65 MAIN STREET APARTA NJ 07871,973-729-3501,9737264480,PARIS P ELIADES,BONNIE MESSINA,MONDAYS (NOT LAST OF MONTH);THURSDAYS (NOT FIRST OF MO),8:30AM - 4:30PM,
MERCER,1103,HAMILTON TWP MUNICIPAL COURT,1270 WHTEHORSE AVE HAMILTON NJ 08619,609-581-4071,6095814198,LOUIS SANCINITO,"JESSICA HAMMILL,DIRECTOR",,MON - FRI 8:00AM -3:30PM,
ATLANTIC,113,HAMMONTON JOINT MUN COURT,100 CENTRAL AVE HAMMONTON NJ 08037,609-567-4322,6095675090,FRANK J RASO,CRYSTAL CZERWINKSI,TUESDAYS,9:00 AM TO 4:30 PM,
HUNTERDON,1013,HAMPTON BORO MUNICIPAL COURT,1370 ROUTE 31 NORTH ANNANDALE NJ 08801,908-735-3730,9087353731,ERIC PERKINS,"KIMBERLY MARINO, CMCA",,MON-FRI 8:30AM - 4:00PM,
SUSSEX,1910,HAMPTON/STILLWATER MUN COURT,888 RT. 23 WANTAGE NJ 07461,973-875-7310,9738758676,GLENN T GAVAN,DONNA CHERNOV,,MON-FRI 8:30 AM- 4:30PM,
MORRIS,1412,HANOVER MUNICIPAL COURT,1000 RTE #10 WHIPPANY NJ 07981,973-428-2519,9735153773,VINCENT A PIRONE,LAUREN DALGAUER,MONDAYS,8:30AM TO 4:00PM,
MORRIS,1413,HARDING TWP MUNICIPAL COURT,915 VALLEY RD GILLETTE NJ 07933,908-647-8369,9086474012,JAMES D. BRIDE,ANN NAYLOR,THURSDAYS,8:00AM - 3:30PM,
WARREN,2109,HARDWICK TWP MUN COURT,PO BOX 134 HOPE NJ 07844,908-459-5800,9083628840,CHARLES E CARRO,KAYLEIGH KEGGAN,1ST (3) THURSDAYS,TUES-THURS 9:00AM - 3:00PM,
SUSSEX,1911,HARDYSTON MUNICIPAL COURT,149 WHEATSWORTH RD HARDYSTION NJ 07419,973-827-9280,9738270921,PARIS P ELIADES,LAUREN MITCHENER,COURT SESSIONS MOST 1ST & 3RD WEDNESDAY 5:00 PM VIRTUAL,8:30AM - 4:00PM,
WARREN,2110,HARMONY TWP MUNICIPAL COURT,691 WATER STREET BELVIDERE NJ 07823,908-475-5331,9082131850,NICOLE LENAR,DAWN DECKER,1ST AND 3RD THURSDAY,MON - FRI 9:00AM - 4:30PM,
BERGEN,224,HARRINGTON PARK BORO COURT,85 HARRIOT AVE HARRINGTON PK NJ 07640,201-768-0500,2012977543,MATTHEW J FIERRO,KATHERINE M. VIGER,2ND THURSDAY,"M,W,TH 2:30P-4:30P T,F 9A-11A",
GLOUCESTER,808,HARRISON TWP MUNICIPAL COURT,397 MAIN STREET MANTUA NJ 08051,856-468-3078,8564683823,KELLY CONROY,CARLA RIOS,,MON-FRI 8:30 AM-4:30 PM,
OCEAN,1509,HARVEY CEDAR BORO MUNICIPAL CT,76TH & LONG BEACH BL HARVEY CEDARS NJ 08008,609-494-9026,6094942335,STACEY KERR,LAUREN SASSANO,2ND MONDAY,TUES & FRIDAY 2:00PM - 4:00PM,
BERGEN,226,HAWORTH BORO MUNICIPAL COURT,300 HAWORTH AVE HAWORTH NJ 07641,201-384-4883,2013841206,HARRY STYLIANOU,JANET GALLAGHER,1ST MONDAY,MON - FRI 9:00AM - 3:00PM,
MONMOUTH,1339,HAZLET MUNICIPAL COURT,225 MIDDLE ROAD HAZLET NJ 07730,732-264-2231,7322647375,MICHAEL D PUGLIESE,ROBIN YOUNG,MONDAYS; 2ND TUESDAYS,MON-FRI 8:30AM - 3:30PM,
MIDDLESEX,1206,HELMETTA BORO MUNICIPAL COURT,51 MAIN STREET HELMETTA NJ 08828,732-521-4946,7325212379,EDWARD H HERMAN,DANA MAHAN,,TUES-THUR 5:30PM - 7:30PM,
HUNTERDON,1014,HIGH BRIDGE MUNICIPAL CT,1370 ROUTE 31 NORTH ANNANDALE NJ 08801,908-735-3730,9087353731,ERIC M PERKINS,"KIMBERLY MARINO, CMCA",,MON-FRI 9AM - 4:00PM,
MIDDLESEX,1207,HIGHLAND PARK BORO COURT,221 SO FIFTH AVE HIGHLAND PK NJ 08904,732-777-6010,7325723400,EDWARD H HERMAN,TRACEY HORAN,,8:00 AM - 4:00 PM,
MONMOUTH,1317,HIGHLANDS BORO MUNICIPAL COURT,100 FIRST AVE ATL HIGHLNDS NJ 07716,732-291-3225,7322913100,THOMAS J. SMITH III,JANICE SWAGGERTY,1ST & 3RD TUESDAYS,MON - FRI 8:30AM - 4:30PM,
MERCER,1104,HIGHTSTOWN MUNICIPAL COURT,1117 ROUTE 130 ROBBINSVILLE NJ 08691,609-259-3522,609208256,SETH A KURS,CAROL GAYNOR,,08:30 AM TO 04:30 PM,
SOMERSET,1810,HILLSBOROUGH TWP MUNICIPAL CT,379 SOUTH BRANCH RD HILLSBOROUGH NJ 08844,908-369-3532,9083694401,FRANCESCO TADDEO,SUSAN KEETH,MONDAYS AND TUESDAYS,8:00AM - 4:00PM,
BERGEN,227,HILLSDALE BORO MUNICIPAL COURT,380 HILLSDALE AVE HILLSDALE NJ 07642,201-666-4800,2013585002,WARREN F CLARK,JENNIFER LACEY,2ND & 4TH WEDNESDAY,8:00 AM - 4:00 PM,
CAMDEN,419,HI-NELLA BORO MUNICIPAL COURT,100 WYKAGYL RD HI-NELLA NJ 08083,856-782-0860,8567848439,MICHAEL A. DIAMOND,DONNA CARNS,4TH WEDNESDAY,TU&TH 5:30-7:30PM; FRI 12-3PM,
HUNTERDON COUNTY,1015,HOLLAND TWP MUNICIPAL COURT,ONE MUNICIPALE DR FLEMINGTON NJ 08822,908-782-8818,9088066478,CHARLES E. CARRO,BIANCA WATKINS,,MON-FRI 8:30AM-4:30PM,
MONMOUTH,1318,HOLMDEL TWP MUNICIPAL COURT,4 CRAWFORDS CORNER HOLMDEL NJ 07733,732-946-2820,7329469505,JAMES F. WEBER,KATHRYNE BRADACH,WEDNESDAYS,9:00 AM - 4:30 PM,
SUSSEX,1912,HOPATCONG BORO MUNICIPAL COURT,111 RIVER STYX RD HOPATCONG NNJ 07843,973-770-1200,8629304096,GERARD SMITH,ERIN GEIGER,MONDAYS,9:00 AM - 4:00 PM,
MERCER,1105,HOPEWELL BORO MUNICIPAL COURT,88 EAST BROAD ST HOPEWELL NJ 08525,609-466-0968,6094668511,ERIC M PERKINS,SUSAN KEETH,,THURS 3:30PM - 5:00PM,
CUMBERLAND,607,HOPEWELL TWP MUNICIPAL COURT,1325 HWY 77 SEABROOK NJ 08302,856-455-8722,6097371022,LAUREN VAN EMBDEN,PATRICIA TURKALI,TUESDAY BEGINNING AT 09:00 AM,"M,T,W,T,F, 9AM - 4PM",
MONMOUTH,1319,HOWELL TWP MUNICIPAL COURT,300 OLD TAVERN RD HOWELL NJ 07731,732-938-4848,7329387054,SUSAN SCHROEDER CLARK,TRACEY SORRENTINO,WEDNESDAYS AND FRIDAYS,8:30 AM TO 4:30 PM,
HUDSON,990,HUDSON CO DISTRICT COURT,ADMINISTRATION BLDG JERSEY CITY NJ 07306,201-795-6050,2017956520,,JULIE O'CONNELL,,8:30AM - 4:30PM,
WARREN,2112,INDEPENDENCE MUNICIPAL COURT,286 RT. 46 GREAT MEADOW NJ 07838,908637-4124,9086378844,NICOLE LENAR,ANNE MARIE TRACY,2ND AND 4TH THURSDAY,MON - THUR 10:00AM - 12 NOON,
MONMOUTH,1320,INTERLAKEN BORO MUNICIPAL CT,190 NORWOOD AVE DEAL NJ 07723,732-531-1343,7325317099,SCOTT J BASEN,KRYSTLE REINER,4TH WEDNESDAYS EACH MONTH,8:30A - 4:30P,
ATLANTIC,123,INTERMUN (ESTELL MANOR),148 CUMBERLAND AVE ESTELL MANOR NJ 08319,609476-4338,6094764588,TIMOTHY MAGUIRE,ANTOINETTE TUMMON,,"WED 6PM-8PM, FRI 9AM-1PM",
OCEAN,1510,ISLAND HEIGHTS MUNICIPAL COURT,PO BOX 797 ISLAND HEIGHTS NJ 08732,732-270-6161,7322708586,DAMIEN G MURRAY,ELIZABETH BOETTGER,3RD MONDAY,MONDAY 6:00PM-8:00PM,
OCEAN,1511,JACKSON TWP MUNICIPAL COURT,102 JACKSON DRIVE JACKSON NJ 08527,732-928-1205,7329283276,DANIEL F. SAHIN,CAMILLE ELLUZZI,2ND AND 4TH TUESDAYS; THURSDAYS,9:00AM TO 4:00PM,
MIDDLESEX,1208,JAMESBURG BORO MUNICIPAL COURT,131 PERRINEVILLE RD JAMESBURG NJ 08831,732-521-2222,7325213455,EDWARD H HERMAN,CHRISTINE WARD,,MON - FRI 8:30AM TO 4:00PM,
MORRIS,1414,JEFFERSON TWP MUNICIPAL COURT,1033 WELDON RD LAKEHOPATCONG NJ 07849,973-208-6129,9736978090,PETER A FICO,ELIZABETH MERT,THURSDAYS,MON-FRI 9:00AM - 4:30PM,
HUNTERDON,1020,JOINT COURT DELAWARE VALLEY,ONE MUNICIPAL DRIVE FLEMINGTON NJ 08822,908-782-8818,9088066478,CHARLES E. CARRO,BIANCA WATKINS,,MON-FRI 8:30A - 4:30P,
MONMOUTH,1321,KEANSBURG MUNICIPAL COURT,29 CHURCH STREET KEANSBURG NJ 07734,732-787-0215,7327870197,NICOLE SONNENBLICK,SHARON M DEVANEY,THURSDAYS,MON - FRI 9:00AM - 4:00PM,
UNION,2008,KENILWORTH BOR MUNICIPAL COURT,567 BOULEVARD KENILWORTH NJ 07033,908-276-1104,9082767688,JONATHAN H. ROSENBLUTH,EILEEN KEATING,1ST THREE TUESDAYS OF EACH MONTH,8:30AM-4:30PM,
MONMOUTH,1322,KEYPORT BORO MUNICIPAL COURT,70 WEST FRONT STREET KEYPORT NJ 07735,732-739-5155,7327392133,FRANK J LAROCCA,SANDRA M. AKES,THREE TUESDAYS PER MONTH,MON - FRI 8:30AM - 4:00PM,
HUNTERDON,1016,KINGWOOD TWP MUNICIPAL COURT,599 OAK GROVE RD. FRENCHTOWN NJ 08825,908-996-0799,9089967753,FRANCESCO TADDEO,NANCY HORVATH,,TUES 5:00PM-7:30PM,
MORRIS,1415,KINNELON BORO MUNICIPAL COURT,130 KINNELON RD KINNELON NJ 07405,973-838-7644,9738389161,ANDREW M WUBBENHORST,DARA S. TANZOLA,2ND AND 4TH TUESDAYS,8:30AM - 4:00PM,
WARREN,2113,KNOWLTON TWP MUNICIPAL COURT,292 ALPHANO RD ALLAMUCHY NJ 07820,908-852-6667,9088520129,LOUIS P. MELLINGER,DAWN DECKER,1ST AND 3RD TUESDAY,MON - THURS 9:00AM - 2:00PM,
OCEAN,1512,LACEY TOWNSHIP MUNICIPAL COURT,818 WEST LACEY ROAD FORKED RIVER NJ 08731,609-693-1100,6096933894,"BENJAMIN H. MABIE, III",LISA TATHAM,COURT SESSIONS - HELD ON TUESDAY,8:30AM - 4:30PM,
MONMOUTH,1347,LAKE COMO MUNICIPAL COURT,601 MAIN STREET BELMAR NJ 07719,848-220-9620,7326814728,DENNIS LAVENDER,PATRICIA WHITE,NOV-APR: ONE TUES PER MO; MAY-OCT:1ST & 3RD TUES,MON - FRI 9:00AM - 4:30PM,
OCEAN,1513,LAKEHURST BORO MUNICIPAL COURT,1 COLONIAL DR. MANCHESTER NJ 08759,732-657-8121,7326572071,DANIEL F SAHIN,TRACY BARCUS,1ST AND 3RD IN MANCHESTER MUNICIPAL COURT,8:30-4PM M-F,
OCEAN,1514,LAKEWOOD MUNICIPAL COURT,231 THIRD ST LAKEWOOD NJ 08701,732-364-2500,7329013647,SCOTT J BASEN,SHEILA D. WILSON,MONDAYS AND THURSDAYS,9:00AM-4:00PM M-F,
HUNTERDON,1017,LAMBERTVILLE CITY COURT,25 SOUTH UNION ST LAMBERTVILLE NJ 8530,609-397-1335,6093975710,TADDEO,PATRICIA WOZNIAK,,10:00AM - 4:00PM,
CAMDEN,420,LAUREL SPRINGS MUNICIPAL COURT,105 KENNEDY BLVD SOMERDALE NJ 08083,856-783-0958,8564350420,CHARLES SHIMBERG,JACQUELYN VICARI,TUESDAYS,MON-THURS 9:00AM-5:00PM,
OCEAN,1515,LAVALLETTE MUNICIPAL COURT,1306 GRAND CNTRL AVE LAVALLETTE NJ 08735,732-830-1911,7328308248,ARNALDO V MAESTREY,ELIZABETH BOETTGER,"2ND TUESDAY; JULY,AUGUST,SEPT: 4TH TUESDAY",1:00PM - 4:00PM,
CAMDEN,421,LAWNSIDE BORO MUNICIPAL COURT,4 DR MARTIN LUTHER LAWNSIDE NJ 08045,856-573-6209,8565463232,DAVID GARNES,LISA ROBERTS,1ST & 3RD WEDNESDAY,9:00AM - 3:00PM M-F,
CUMBERLAND,608,LAWRENCE TWP MUNICIPAL COURT,1325 HWY 77 SEABROOK NJ 08302,856-455-8722,8564516489,LAUREN VAN EMBDEN,PATRICIA TURKALI,TUESDAY BEGINNING AT 09:00 AM,MON-FRI. 9AM TO 4PM,
MERCER,1107,LAWRENCE TWP MUNICIPAL COURT,2211 LAWERENCE RDLAWRENCEVILLE NJ 08648,609-844-7159,6098447156,LEWIS J. KORNGUT,NICOLE FINACCHIO,,8:00AM - 3:30PM,
HUNTERDON,1018,LEBANON BORO MUNICIPAL COURT,405 MINE RD ASBURY NJ 08802,908-735-4559,9087359406,ROBERT L ALEXANDER,DONNA SURDICH,2ND & 4TH TUESDAY,MON TO FRI 8:30AM - 3:30PM,
HUNTERDON,1019,LEBANON TWP MUNICIPAL COURT,1370 RTE 31 ANNANDALE NJ 08801,908-735-3730,9087353731,ERIC M PERKINS,"IMBERLY MARINO, CMCA",,MON-FRI 8:30A - 4:00P,
WARREN,2114,LIBERTY TWP MUNICIPAL COURT,691 WATER STREET BELVIDERE NJ 07823,908-475-5331,9086376916,NICOLE LENAR,DAWN DECKER,1ST AND 3RD THURSDAY,MON - FRI 9:00AM -4:30PM,
MORRIS,1416,LINCOLN PARK MUNICIPAL COURT,34 CHAPEL HILL RD LINCOLN PARK NJ 07035,973-694-6100,9732702070,ANDREW M WUBBENHORST,ASHLEY OLSEN,1ST AND 3RD WEDNESDAYS; 4TH THURSDAY,MON-FRI 8:00AM - 4:00PM,
CAMDEN,422,LINDENWOLD MUNICIPAL COURT,2001 EGG HARBOR EOAD LINDENWOLD NJ 08021,856-344-5538,8567832841,N. RYAN TRABOSH,KATHLEEN BUCHHOFER CMCA,1ST & 3RD WEDNESDAY,9:00AM - 4:00PM,
ATLANTIC,114,LINWOOD CITY MUNICIPAL COURT,5905 MAIN STREET MAYS LANDING NJ 08330,609-909-5999,6099095992,TIMOTHY P MAGUIRE,ANTOINETTE TUMMON,MONDAY-FRIDAY,M-F 9:00AM - 4:00PM,
OCEAN,1516,LITTLE EGG HARBOR MUNICIPAL CO,665 RADIO ROAD LITTLE EGG HARB NJH 08087,609-296-7241,6092949065,DAMIAN G MURRAY,ALINA BERTRAM,2ND AND 3RD THURSDAYS,8:30 AM - 4:00 PM M-F,
MONMOUTH,1323,LITTLE SILVER BORO COURT,480 PROSPECT AVE LITTLE SILVER NJ 07739,732-842-3881,7328429271,JAMES E. BERUBE JR,JANICE SWAGGERTY,1ST AND 3RD THURSDAYS,8:00 AM - 3:30 PM,
MONMOUTH,1324,LOCH ARBOR VILLAGE COURT,190 NORWOOD AVE DEAL NJ 07723,732-531-1343,7324939521,SCOTT J BASEN,KRYSTLE REINER,2ND WEDNESDAY EACH MONTH,8:30 AM - 4:30 PM,
GLOUCESTER,809,LOGAN TWP MUNICIPAL COURT,P.O. BOX 314 BRIDGEPORT NJ 08014,856-467-3425,8564671061,SHELIA ELLINGTON,LORI L ZANE,"1ST, 3RD & 4TH WEDNESDAY",M-F 8:30AM - 4:00PM,
OCEAN,1517,LONG BEACH TWP MUNICIPAL COURT,6805 LONG BEACH BLVD BRANT BEACH NJ 08008,609-361-1000,6094944999,DAMIAN G. MURRAY,MAUREEN DANIELS,JAN-DEC: 1ST WEDNESDAY; JUL-SEPT: 3RD WEDNESDAY,9:00AM - 3:30 PM M-F,
MONMOUTH,1325,LONG BRANCH MUNICIPAL COURT,279 BROADWAY LONG BRANCH NJ 07740,732-571-6500,732571.0106,LUANNE PETERPAUL,LINDSAY MEEHAN,TUESDAYS AND WEDNESDAYS,8:00AM TO 3:00PM,
MORRIS,1430,LONG HILL TWP MUNICIPAL COURT,915 VALLEY RD GILLETTE NJ 07933,908-647-8369,9086474012,JAMES D BRIDE,ANN NAYLOR,THURSDAYS,"M/T/TH 8:30-4:30 W 6:30,F 2:30",
ATLANTIC,115,LONGPORT BORO MUNICIPAL COURT,9001 WINCHESTER AVE MARGATE NJ 08402,609-822-1998,6098223249,JOHN H ROSENBERGER,MAUREEN E LARKIN,WINTER: 2ND/4TH MONDAY JULY-SEPTEMBER: MONDAYS,MON - FRI 9:00AM - 3:30PM,
WARREN,2115,LOPATCONG TWP MUNICIPAL COURT,232 S. THIRD STREET PHILIPSBURG NJ 08865,908-859-3355,9082131037,PADRAIG P. FLANAGAN,KRISTIN GLINKO,COURT SESSIONS HELD 1ST & 3RD TUESDAYS AT 12:00 PM,8:00 - 4:00,
ALEM,1704,LOWER ALLOWAYS CREEK COURT,PO BOX 188 HANCOCKS BRIDGE NJ 08038,856-935-1957,8569355638,NICHOLAS T LACOVARA,DEBRA A. SCOTT,2ND MONDAY,MON 1:30P-4:30P FRI 12:30-3:30,
CAPE MAY,505,LOWER TWP MUNICIPAL COURT,401 BREAKWATER ROAD ERMA NJ 08204,609-886-6040,6098866636,"THOMAS D KEYWOOD, JMC",SARAH VAN SEETERS,TUESDAY,MON - FRI 8:30AM - 4:30PM,
BURLINGTON,318,LYNDHURST TWP MUNICIPAL COURT,MUNICIPAL BUILDING LYNDHURST NJ 07071,609-267-3389,2019352581,WILLIAM E. SITZLER,SARAH GRAUBART,"2ND, 3RD, & 4TH TUESDAY",8:00 AM - 4:00 PM M-F,
BERGEN,232,LYNDHURST TWP MUNICIPAL COURT,MUNICIPAL BUILDING  LYNDHURST NJ 07071,201-804-2457,,GEORGE O SAVINO,KIM BOLTON,EVERY TUESDAY,9:00 AM - 4:00 PM,
MORRIS,1417,MADISON JOINT MUNICIPAL COURT,50 KINGS ROAD MADISON NJ 07940,973-593-3026,9735933029,JONATHAN ROSENBLUTH,DAWN ALLGEIER,1ST AND 3RD WEDNESDAYS,8:00AM - 4:00PM,
CAMDEN,423,MAGNOLIA BORO MUNICIPAL COURT,438 W. EVESHAM AVE MAGNOLIA NJ 08049,856-939-5252,8567820782,KRISDEN M MCCRINK,CATHERINE LAWSON,2ND & 4TH TUESDAY,MON-FRI 9AM-4PM,
BERGEN,233,MAHWAH TWP MUNICIPAL COURT,475 CORPORATE DRIVE MAHWAH NJ 07430,201-529-2862,2015292054,RICHARD J BRADY JMC,MICHELE ODONOHUE,EVERY TUESDAY,MON-FRI 8:00AM-4:00PM,
MONMOUTH,1326,MANALAPAN TWP MUNICIPAL COURT,120 RT 522 MANALAPAN NJ 07726,732-446-6656,7324462504,JAMES NEWMAN / N.SONNENBLICK,DANIELLA M TRANCHO,MONDAYS,8:30AM TO 4:00PM,
MONMOUTH,1327,MANASQUAN BORO MUNICIPAL COURT,201 EAST MAIN ST. MANASQUAN NJ 08736,732-223-0600,7322231300,PAUL J. CAPOTORTO,MARIE HIGGINS,TWO WEDNESDAYS PER MONTH,8:30 AM - 4:00 PM,
OCEAN,1518,MANCHESTER TWP MUNICIPAL COURT,1 COLONIAL DRIVE MANCHESTER NJ 08759,732-657-8121,7326572071,DANIEL F SAHIN,TRACY BARCUS,3RD THURSDAY,8:30AM - 4:00PM M-F,
SALEM,1706,MANNINGTON TWP MUNICIPAL COURT,25 WEST AVE WOODSTOWN NJ 08098,856-769-2424,8567693307,MARTIN WHITCRAFT,BARBARA GARO. .O,,"M,TU 9AM-3PM W,TH,F 9AM-2PM",
WARREN,2116,MANSFIELD TWP MUNICIPAL COURT,100 PORT MURRAY ROAD PORT MURRAY NJ 07865,908-689-7066,9086899004,"CHARLES E CARRO,JMC",IRENE BROWNELL,1ST AND 3RD TUESDAY,MON - FRI 8AM -4PM,
BURLINGTON,319,MANSFIELD TWP. MUNICIPAL CT,3135 ROUTE 206 SOUTH COLUMBUS NJ 08022,609-298-0542,6092983926,R.DOUGLAS HOFFMAN,"SUZANNE MORALES ,",THURSDAY,9:00AM - 4:00PM M-F,
OCEAN,1519,MANTOLOKING MUNICIPAL COURT,PO BOX 247 MANTOLOKING NJ 08738,732-475-7398,7328306344,JAMES J GLUCK,ELIZABETH BOETTGER,3RD THURSDAY,WED 4:30PM - 6:00PM,
